,brewery_id,name,city,state,beer_count,rating
506,506,Warbird Brewing Company,Fort Wayne, IN,1,0
507,507,Mudshark Brewing Company,Lake Havasu City, AZ,5,4.3
508,508,Spilker Ales,Cortland, NE,1,4.5
509,509,Wingman Brewers,Tacoma, WA,2,4.7
510,510,Kettle House Brewing Company,Missoula, MT,6,4.7
511,511,Sherwood Forest Brewers,Marlborough, MA,1,0
512,512,Cottrell Brewing,Pawcatuck, CT,1,4.4
513,513,Arctic Craft Brewery,Colorado Springs, CO,1,4.6
514,514,Monkey Paw Pub & Brewery,San Diego, CA,3,4.5
515,515,Crabtree Brewing Company,Greeley, CO,3,4.8
516,516,Emerald City Beer Company,Seattle, WA,1,4
517,517,Butcher's Brewing,Carlsbad, CA,1,4.2
518,518,New South Brewing Company,Myrtle Beach, SC,2,4.7
519,519,Big River Brewing Company,Chattanooga, TN,2,3.5
520,520,Twisted Pine Brewing Company,Boulder, CO,1,4.4
521,521,Flying Dog Brewery,Frederick, MD,2,4.5
522,522,Uncommon Brewers,Santa Cruz, CA,5,4.8
523,523,Aspen Brewing Company,Aspen, CO,2,3.9
524,524,Triangle Brewing Company,Durham, NC,3,5
525,525,Bomb Beer Company,New York, NY,2,NaN
526,526,Churchkey Can Company,Seattle, WA,1,NaN
527,527,Intuition Ale Works,Jacksonville, FL,3,4.5
528,528,Asheville Brewing Company,Asheville, NC,3,4.2
529,529,Northwoods Brewpub,Eau Claire, WI,2,3.8
530,530,Buckbean Brewing Company,Reno, NV,7,4.6
531,531,Dolores River Brewery,Dolores, CO,6,4.6
532,532,Flat Rock Brewing Company,Smithton, PA,1,4
533,533,Abita Brewing Company,Abita Springs, LA,3,4.6
534,534,Mammoth Brewing Company,Mammoth Lakes, CA,4,4.4
535,535,Harvest Moon Brewing Company,Belt, MT,2,4.7
536,536,Grand Canyon Brewing Company,Williams, AZ,4,4.1
537,537,Lewis and Clark Brewing Company,Helena, MT,5,4.7
538,538,Dundee Brewing Company,Rochester, NY,1,NaN
539,539,Twin Lakes Brewing Company,Greenville, DE,1,4.2
540,540,Mother Earth Brewing Company,Kinston, NC,2,4.6
541,541,Arcadia Brewing Company,Battle Creek, MI,2,4.3
542,542,Angry Minnow Brewing Company,Hayward, WI,2,4.3
543,543,Great Northern Brewing Company,Whitefish, MT,2,3.9
544,544,Pyramid Breweries,Seattle, WA,2,NaN
545,545,Lancaster Brewing Company,Lancaster, PA,2,4.3
546,546,Upstate Brewing Company,Elmira, NY,2,4.7
547,547,Moat Mountain Smoke House & Brew...,North Conway, NH,2,4.5
548,548,Prescott Brewing Company,Prescott, AZ,2,4.4
549,549,Mogollon Brewing Company,Flagstaff, AZ,1,NaN
550,550,Wind River Brewing Company,Pinedale, WY,2,4.2
551,551,Silverton Brewery,Silverton, CO,3,4.4
552,552,Mickey Finn's Brewery,Libertyville, IL,1,4.2
553,553,Covington Brewhouse,Covington, LA,1,4.6
554,554,Dave's Brewfarm,Wilson, WI,1,4.8
555,555,Ukiah Brewing Company,Ukiah, CA,1,4.2
556,556,Butternuts Beer and Ale,Garrattsville, NY,4,4.6
557,557,Sleeping Lady Brewing Company,Anchorage, AK,1,4.6
